year,general_relfreq,economic_relfreq,gender_relfreq,race_relfreq,inequality_total_relfreq
2000,1.5945409425075638,1.7542068514425004,0.20923054503307276,0.08896216735562923,3.646940506338766
2001,1.6451244656796586,1.8209405158364487,0.2017043033319022,0.10283278309124949,3.770602067939259
2002,1.6989363988007073,1.8472762023530962,0.1939771302997455,0.09478806195581463,3.834977793409364
2003,1.7443038353336933,1.8866314683099215,0.19052934865817028,0.09174642498276568,3.9132110772845508
2004,1.7612255349018107,1.9717188147245743,0.16968823653314052,0.08951237270218533,3.992144958861711
2005,1.78985589476076,1.897830167343009,0.17611312101991325,0.08751682079087929,3.951316003914561
2006,1.90496649415362,1.9640544983659154,0.1847749823697289,0.09292582007356648,4.146721794962831
2007,1.9662599608384286,1.9789707530836123,0.19474071999523818,0.09756007331471139,4.23753150723199
2008,1.9796603944090254,1.9896154246019038,0.19508327460012675,0.0991529836505736,4.2635120772616295
2009,2.024841720060814,2.044363050422935,0.19730192053495063,0.10048108498892414,4.3669877760076234
2010,2.045900682758039,2.0829494190198563,0.20191561262690397,0.09943340518601264,4.430199119590812
2011,2.1097003460935997,2.205699101254601,0.20812152013601612,0.09967073935765362,4.62319170684187
2012,2.165787488480595,2.3009728890842363,0.2238055865719434,0.10458888522806506,4.79515484936484
2013,2.2074534289475514,2.382301554356962,0.24178295235762473,0.10831211570219917,4.939850051364337
2014,2.290338353690713,2.439771042010596,0.25027554677678854,0.1094441136269379,5.089829056105035
2015,2.282540463672366,2.4146884487675493,0.27243007912141615,0.11445629817015397,5.084115289731486
2016,2.314536230791412,2.4189665933208406,0.2950569680218934,0.1260377164913077,5.154597508625454
2017,2.4431275103513688,2.5597336274856706,0.30941506309710565,0.13537012885673985,5.447646329790885
2018,2.6292553958873035,2.7042140417047524,0.35807814827653217,0.14503684558000524,5.836584431448593
2019,2.7396156226154913,2.887319931282878,0.35885728215417506,0.1554393121364188,6.141232148188963
2020,2.915778015658593,3.0985647364085276,0.34404384302902974,0.20663687474457773,6.565023469840728
2021,2.5565467780782845,2.8175836596294355,0.23681696470619892,0.10360742205896205,5.714554824472881
2022,,,,,
2023,,,,,
2024,,,,,
2025,,,,,
